subscriber_type,n,perc_of_trips,cume_perc_of_trips,super_subscriber_type
Walk Up,363176,20.08,20.08,Single Trip
Local365,310730,17.18,37.26,Local
U.T. Student Membership,270457,14.96,52.22,Student Membership
Student Membership,223570,12.36,64.58,Student Membership
Local31,96531,5.34,69.92,Local
24-Hour Kiosk (Austin B-cycle),91201,5.04,74.96,24-Hour
Explorer,75956,4.2,79.16,Explorer
Local30,67091,3.71,82.87,Local
Pay-as-you-ride,48960,2.71,85.58,Single Trip
24 Hour Walk Up Pass,48569,2.69,88.27,24-Hour
Weekender,44767,2.48,90.75,Weekender
3-Day Weekender,38098,2.11,92.86,Weekender
Single Trip (Pay-as-you-ride),30734,1.7,94.56,Single Trip
Annual Membership (Austin B-cycle),27895,1.54,96.1,Annual Membership
Single Trip,14944,0.83,96.93,Single Trip
Local365+Guest Pass,13741,0.76,97.69,Local Plus Guest
3-Day Explorer,5110,0.28,97.97,Explorer
Local365 ($80 plus tax),4004,0.22,98.19,Local
Founding Member,3461,0.19,98.38,Founding Member
7-Day,2865,0.16,98.54,7-Day
Single Trip Ride,2782,0.15,98.69,Single Trip
Founding Member (Austin B-cycle),2605,0.14,98.83,Founding Member
Local365- 1/2 off Anniversary Special,2394,0.13,98.96,Local
7-Day Membership (Austin B-cycle),2290,0.13,99.09,7-Day
HT Ram Membership,2260,0.12,99.21,HT Ram Membership
Semester Membership (Austin B-cycle),2233,0.12,99.33,Student Membership
Annual,1675,0.09,99.42,Annual Membership
Semester Membership,859,0.05,99.47,Student Membership
Local30 ($11 plus tax),840,0.05,99.52,Local
Annual Membership,711,0.04,99.56,Annual Membership
$1 Pay by Trip Winter Special,696,0.04,99.6,Promo Pay-as-you-ride
24-Hour-Online (Austin B-cycle),590,0.03,99.63,24-Hour
Local365 Youth (age 13-17 riders),587,0.03,99.66,Local
Weekender ($15 plus tax),565,0.03,99.69,Weekender
Try Before You Buy Special,521,0.03,99.72,Try Before You Buy Special
Annual Member,478,0.03,99.75,Annual Membership
$1 Pay by Trip Fall Special,408,0.02,99.77,Promo Pay-as-you-ride
RideScout Single Ride,369,0.02,99.79,Single Trip
Local365+Guest Pass- 1/2 off Anniversary Special,366,0.02,99.81,Local Plus Guest
Annual (San Antonio B-cycle),345,0.02,99.83,Annual Membership
Republic Rider (Annual),289,0.02,99.85,Annual Membership
Annual Member (Houston B-cycle),259,0.01,99.86,Annual Membership
Annual Membership (Fort Worth Bike Sharing),236,0.01,99.87,Annual Membership
Annual (Denver B-cycle),221,0.01,99.88,Annual Membership
Annual Plus,189,0.01,99.89,Annual Membership
Explorer ($8 plus tax),186,0.01,99.9,Explorer
ACL 2019 Pass,172,0.01,99.91,ACL 2019 Pass
Annual (Broward B-cycle),134,0.01,99.92,Annual Membership
Annual (Madison B-cycle),128,0.01,99.93,Annual Membership
Annual (Boulder B-cycle),122,0.01,99.94,Annual Membership
Annual (Denver Bike Sharing),118,0.01,99.95,Annual Membership
ACL Weekend Pass Special (Austin B-cycle),109,0.01,99.96,Weekender
Local365 Youth with helmet (age 13-17 riders),96,0.01,99.97,Local
Aluminum Access,89,0,99.97,Aluminum Access
Annual Pass,70,0,99.97,Annual Membership
Annual Membership (GREENbike),63,0,99.97,Annual Membership
Madtown Monthly,63,0,99.97,Monthly
Annual (Cincy Red Bike),48,0,99.97,Annual Membership
Annual (Kansas City B-cycle),44,0,99.97,Annual Membership
FunFunFun Fest 3 Day Pass,27,0,99.97,Weekender
Annual Plus Membership,26,0,99.97,Annual Membership
Annual (Nashville B-cycle),25,0,99.97,Annual Membership
Annual Membership (Charlotte B-cycle),18,0,99.97,Annual Membership
Republic Rider,17,0,99.97,Annual Membership
Membership: pay once  one-year commitment,15,0,99.97,Annual Membership
Denver B-cycle Founder,10,0,99.97,Founding Member
RESTRICTED,10,0,99.97,Restricted
UT Student Membership,9,0,99.97,Student Membership
Annual Membership (Indy - Pacers Bikeshare ),8,0,99.97,Annual Membership
PROHIBITED,8,0,99.97,Restricted
Heartland Pass (Annual Pay),4,0,99.97,Annual Membership
Annual (Omaha B-cycle),3,0,99.97,Annual Membership
Local365 Youth (age 13-17 riders)- 1/2 off Special,3,0,99.97,Local
Annual Pass (30 minute),2,0,99.97,Annual Membership
Heartland Pass (Monthly Pay),1,0,99.97,Monthly
